STATE,RATE,DEATHS
AL,21.5,1046.00
AK,23.3,177.00
AZ,15.2,1094.00
AR,17.8,541.00
CA,7.9,3184.00
CO,14.3,812.00
CT,4.6,172.00
DE,11,111.00
FL,12.6,2704.00
GA,15,1571.00
HI,4.5,66.00
ID,14.6,242.00
IL,11.7,1490.00
IN,15,997.00
IA,9.2,288.00
KS,13.4,383.00
KY,17.5,772.00
LA,21.3,987.00
ME,8.3,123.00
MD,11.9,707.00
MA,3.4,242.00
MI,12.3,1230.00
MN,7.6,432.00
MS,19.9,587.00
MO,19,1144.00
MT,18.9,194.00
NE,9.1,171.00
NV,16.8,498.00
NH,9.3,132.00
NJ,5.5,485.00
NM,18.1,383.00
NY,4.4,900.00
NC,13.7,1409.00
ND,11.9,90.00
OH,12.9,1524.00
OK,19.6,766.00
OR,11.9,513.00
PA,12,1555.00
RI,4.1,49.00
SC,17.7,891.00
SD,13.4,108.00
TN,17.1,1148.00
TX,12.1,3353.00
UT,12.9,370.00
VT,11.1,78.00
VA,12.1,1049.00
WA,9,686.00
WV,17.5,332.00
WI,11.4,664.00
WY,17.4,101.00
